Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy,log_GDP_per_capita,log_Population_mln,log_Adult_mortality
Angola,Africa,2000.0,121.5,204.4,371.4315,1.47,67.0,64.0,22.0,21.0,28.0,1.24,1832.0,16.4,1.9,1.9,4.4,0.0,1.0,46.5,7.513163545234075,2.797281334830153,5.917364459538561
Angola,Africa,2001.0,118.2,198.4,361.129,1.94,67.0,64.0,22.0,28.0,38.0,1.36,1847.0,16.95,1.7,1.7,4.4,0.0,1.0,47.1,7.52131798019924,2.830267833826459,5.889235235222113
Angola,Africa,2002.0,114.5,191.5,350.8275,2.08,67.0,64.0,22.0,22.0,41.0,1.39,2031.0,17.52,1.5,1.5,4.4,0.0,1.0,47.7,7.616283561580385,2.8633430855082453,5.86029464967181
Angola,Africa,2003.0,110.4,183.8,340.0665,2.2,67.0,64.0,22.0,21.0,40.0,1.43,2022.0,18.12,1.4,1.3,4.4,0.0,1.0,48.4,7.611842399580417,2.8970163006148333,5.829141186720616
Angola,Africa,2004.0,105.7,175.1,329.306,2.41,67.0,64.0,22.0,18.0,40.0,1.45,2168.0,18.76,1.2,1.1,4.4,0.0,1.0,49.3,7.681560362559537,2.9317269435780786,5.796987409683987
Angola,Africa,2005.0,100.9,166.1,318.546,3.49,67.0,64.0,22.0,14.0,38.0,1.49,2407.0,19.43,1.0,9.9,4.4,0.0,1.0,50.2,7.786136437783072,2.9668182633893485,5.763766891585212
Angola,Africa,2006.0,95.7,156.4,307.785,4.02,67.0,64.0,22.0,8.0,34.0,1.48,2589.0,20.15,9.8,9.7,4.5,0.0,1.0,51.1,7.859026979751538,3.0032042883926917,5.729401487273821
Angola,Africa,2007.0,90.6,147.0,297.0245,4.68,73.0,64.0,23.0,43.0,73.0,1.45,2845.0,20.91,9.6,9.6,4.5,0.0,1.0,52.2,7.953318346560431,3.0402275134405423,5.693814626982948
Angola,Africa,2008.0,85.5,137.7,288.09,5.19,69.0,64.0,23.0,36.0,69.0,1.41,3048.0,21.7,9.5,9.4,4.6,0.0,1.0,53.2,8.022240916806537,3.077312260546414,5.663272931317991
Angola,Africa,2009.0,80.6,128.7,279.156,6.12,61.0,64.0,23.0,36.0,60.0,1.39,2962.0,22.51,9.3,9.2,4.7,0.0,1.0,54.3,7.993619994827744,3.113959654918641,5.631770765345907
Angola,Africa,2010.0,75.9,120.4,270.221,7.58,77.0,64.0,23.0,56.0,77.0,1.33,2994.0,23.36,9.1,9.0,4.7,0.0,1.0,55.4,8.004365564979574,3.151025157960026,5.599240142713294
Angola,Africa,2011.0,71.5,112.5,261.2865,7.66,72.0,64.0,23.0,50.0,71.0,1.25,2988.0,24.22,8.9,8.8,4.7,0.0,1.0,56.3,8.002359546252707,3.1871787381249463,5.56561750643874
Angola,Africa,2012.0,67.4,105.1,252.352,7.83,75.0,64.0,23.0,54.0,75.0,1.21,3128.0,25.11,8.8,8.6,4.8,0.0,1.0,57.2,8.048149101665201,3.2232661731694936,5.530824938255162
Angola,Africa,2013.0,63.7,98.5,249.2235,7.67,77.0,64.0,23.0,48.0,77.0,1.12,3169.0,26.02,8.6,8.5,4.9,0.0,1.0,58.1,8.06117135969092,3.2588654730843594,5.518350084232816
Angola,Africa,2014.0,60.5,92.9,246.0945,8.1,64.0,64.0,23.0,55.0,64.0,0.97,3207.0,26.94,8.5,8.3,4.9,0.0,1.0,58.8,8.073091199693154,3.293612170982218,5.505715608508511
Angola,Africa,2015.0,57.7,88.1,242.9655,6.53,64.0,64.0,23.0,62.0,64.0,0.89,3128.0,27.88,8.3,8.2,5.0,0.0,1.0,59.4,8.048149101665201,3.327909585892323,5.492919457952458
Antigua and Barbuda,Central America and Caribbean,2000.0,12.6,15.5,156.232,6.86,98.0,58.0,25.0,96.0,95.0,0.1,14070.0,0.08,3.7,3.6,7.0,0.0,1.0,73.9,9.551800150108434,-2.5257286443082556,5.051342081980481
Antigua and Barbuda,Central America and Caribbean,2001.0,12.3,15.1,154.2495,6.85,96.0,60.0,25.0,99.0,97.0,0.1,13220.0,0.08,3.6,3.5,8.9,0.0,1.0,74.2,9.489486113405677,-2.5257286443082556,5.0385714212891575
Antigua and Barbuda,Central America and Caribbean,2002.0,11.9,14.6,152.267,6.67,99.0,56.0,25.0,93.0,98.0,0.1,13171.0,0.08,3.6,3.5,9.0,0.0,1.0,74.4,9.485772721999046,-2.5257286443082556,5.025635558813151
Antigua and Barbuda,Central America and Caribbean,2003.0,11.5,14.1,150.412,6.91,99.0,59.0,25.0,99.0,99.0,0.1,13793.0,0.08,3.5,3.5,9.0,0.0,1.0,74.6,9.53191649607552,-2.5257286443082556,5.01337819556695
Antigua and Barbuda,Central America and Caribbean,2004.0,11.0,13.5,148.5575,6.72,97.0,64.0,26.0,97.0,97.0,0.1,14400.0,0.08,3.5,3.4,9.1,0.0,1.0,74.8,9.574983485564092,-2.5257286443082556,5.000972088685299
Antigua and Barbuda,Central America and Caribbean,2005.0,10.6,12.9,146.703,7.44,99.0,46.0,26.0,98.0,99.0,0.1,15122.0,0.08,3.5,3.4,9.1,0.0,1.0,75.0,9.623905916118215,-2.5257286443082556,4.98841013483759
Antigua and Barbuda,Central America and Caribbean,2006.0,10.1,12.3,144.8485,7.7,99.0,68.0,26.0,99.0,99.0,0.1,16786.0,0.08,3.4,3.4,9.2,0.0,1.0,75.2,9.728300484642773,-2.5257286443082556,4.975688368621526
Antigua and Barbuda,Central America and Caribbean,2007.0,9.6,11.7,142.994,8.11,97.0,78.0,26.0,98.0,99.0,0.1,18062.0,0.08,3.4,3.3,9.2,0.0,1.0,75.4,9.801565562810744,-2.5257286443082556,4.962802671337686
Antigua and Barbuda,Central America and Caribbean,2008.0,9.2,11.1,141.2655,8.41,98.0,83.0,26.0,99.0,99.0,0.1,17771.0,0.09,3.4,3.3,9.3,0.0,1.0,75.5,9.785323194185485,-2.4079456086518722,4.950641098519434
Antigua and Barbuda,Central America and Caribbean,2009.0,8.7,10.6,139.537,7.64,98.0,94.0,26.0,98.0,99.0,0.1,15402.0,0.09,3.4,3.3,9.3,0.0,1.0,75.7,9.642252650099195,-2.4079456086518722,4.938329799068284
Antigua and Barbuda,Central America and Caribbean,2010.0,8.3,10.0,137.808,7.16,98.0,92.0,26.0,99.0,98.0,0.1,13987.0,0.09,3.3,3.3,9.2,0.0,1.0,75.8,9.545883605779304,-2.4079456086518722,4.925861412046817
Antigua and Barbuda,Central America and Caribbean,2011.0,7.9,9.5,136.0795,7.24,99.0,89.0,26.0,99.0,99.0,0.1,13525.0,0.09,3.3,3.3,9.2,0.0,1.0,76.0,9.512295103714683,-2.4079456086518722,4.913239273771626
Antigua and Barbuda,Central America and Caribbean,2012.0,7.5,9.0,134.3515,8.22,98.0,90.0,26.0,97.0,98.0,0.2,13803.0,0.09,3.3,3.3,9.2,0.0,1.0,76.1,9.532641238823578,-2.4079456086518722,4.900459499867056
Antigua and Barbuda,Central America and Caribbean,2013.0,7.1,8.5,132.9015,9.43,99.0,87.0,26.0,98.0,99.0,0.2,13554.0,0.09,3.3,3.3,9.2,0.0,1.0,76.2,9.514436985696058,-2.4079456086518722,4.889608252337221
Antigua and Barbuda,Central America and Caribbean,2014.0,6.8,8.1,131.452,9.66,99.0,99.0,27.0,96.0,99.0,0.2,13909.0,0.09,3.3,3.3,9.2,0.0,1.0,76.3,9.54029139160713,-2.4079456086518722,4.878641765970757
Antigua and Barbuda,Central America and Caribbean,2015.0,6.5,7.8,130.0025,9.06,99.0,84.0,27.0,86.0,99.0,0.2,14285.0,0.09,3.3,3.3,9.2,0.0,1.0,76.5,9.566965314664873,-2.4079456086518722,4.8675536810399045
Argentina,South America,2000.0,17.5,19.6,139.3255,7.68,73.0,56.0,26.0,88.0,83.0,0.16,10731.0,36.87,1.2,1.1,9.1,0.0,1.0,73.6,9.280892027927127,3.607398212246053,4.936812922180544
Argentina,South America,2001.0,16.9,18.9,137.696,7.76,73.0,56.0,26.0,85.0,83.0,0.16,10146.0,37.28,1.2,1.1,9.1,0.0,1.0,73.8,9.224834818126634,3.6184569898173904,4.925048356656189
Argentina,South America,2002.0,16.4,18.3,136.066,7.81,66.0,83.0,26.0,94.0,93.0,0.15,8943.0,37.68,1.2,1.0,9.2,0.0,1.0,73.9,9.09862638234618,3.629129449708162,4.913140062136592
Argentina,South America,2003.0,15.8,17.7,134.5355,7.62,73.0,80.0,26.0,95.0,96.0,0.15,9630.0,38.09,1.2,1.0,9.3,0.0,1.0,74.1,9.172638504792172,3.6399517804905126,4.901828104736169
Argentina,South America,2004.0,15.3,17.1,133.0055,7.63,81.0,93.0,27.0,91.0,98.0,0.15,10389.0,38.49,1.1,1.0,9.2,0.0,1.0,74.3,9.248502833070532,3.6503984672956546,4.890390480750185
Argentina,South America,2005.0,14.8,16.5,131.475,7.6,88.0,88.0,27.0,95.0,98.0,0.15,11192.0,38.89,1.1,1.0,9.1,0.0,1.0,74.5,9.322954516345318,3.660737148167656,4.878816719475408
Argentina,South America,2006.0,14.4,16.1,129.945,7.8,84.0,91.0,27.0,92.0,91.0,0.15,11971.0,39.29,1.1,0.9,9.0,0.0,1.0,74.6,9.39024233725137,3.6709700335703683,4.867111284010213
Argentina,South America,2007.0,14.0,15.7,128.4145,8.16,85.0,84.0,27.0,92.0,91.0,0.15,12919.0,39.68,1.1,0.9,8.9,0.0,1.0,74.8,9.466454374960302,3.6808472824166723,4.8552633132288445
Argentina,South America,2008.0,13.7,15.3,126.9785,8.42,90.0,88.0,27.0,94.0,93.0,0.15,13311.0,40.08,1.0,0.9,8.9,0.0,1.0,75.0,9.496346040047019,3.6908774567766094,4.8440177807886124
Argentina,South America,2009.0,13.3,14.9,125.542,8.34,94.0,96.0,27.0,97.0,94.0,0.14,12398.0,40.48,1.0,0.9,9.3,0.0,1.0,75.1,9.425290448261865,3.70080802497921,4.8326403639398
Argentina,South America,2010.0,12.9,14.5,124.1055,8.15,94.0,94.0,27.0,95.0,94.0,0.14,13551.0,40.79,1.0,0.9,9.8,0.0,1.0,75.3,9.514215624322715,3.708436953329467,4.821132010326002
Argentina,South America,2011.0,12.4,13.9,122.669,7.69,91.0,91.0,27.0,93.0,91.0,0.14,14200.0,41.26,1.0,0.9,9.8,0.0,1.0,75.4,9.560997243589352,3.7198935076431057,4.8094896710590405
Argentina,South America,2012.0,11.9,13.3,121.2325,8.0,91.0,89.0,27.0,90.0,91.0,0.14,13896.0,41.73,1.0,0.9,9.8,0.0,1.0,75.6,9.53935630792094,3.731220294603461,4.797710189504124
Argentina,South America,2013.0,11.3,12.7,119.885,8.27,94.0,83.0,27.0,90.0,94.0,0.14,14072.0,42.2,1.0,0.9,9.8,0.0,1.0,75.8,9.551942286417393,3.742420221041966,4.786532949953734
Argentina,South America,2014.0,10.8,12.1,118.5375,7.93,94.0,96.0,28.0,92.0,94.0,0.13,13568.0,42.67,1.0,0.9,9.8,0.0,1.0,75.9,9.515469358031684,3.7534960971999087,4.775229366209846
Argentina,South America,2015.0,10.2,11.5,117.1895,8.49,94.0,87.0,28.0,93.0,94.0,0.13,13789.0,43.13,1.0,0.9,9.8,0.0,1.0,76.1,9.531626451841742,3.764218810659752,4.763792282685762
Armenia,Rest of Europe,2000.0,27.0,30.6,149.064,2.91,55.0,94.0,26.0,96.0,93.0,0.08,1290.0,3.07,2.1,2.2,10.8,0.0,1.0,71.4,7.162397497355718,1.1216775615991057,5.004375743925111
Armenia,Rest of Europe,2001.0,25.7,29.1,143.7555,2.87,69.0,96.0,26.0,97.0,94.0,0.08,1422.0,3.05,2.1,2.1,10.7,0.0,1.0,71.8,7.259819610363186,1.1151415906193203,4.968113939815097
Armenia,Rest of Europe,2002.0,24.5,27.7,138.447,2.87,91.0,95.0,26.0,96.0,94.0,0.08,1619.0,3.03,2.1,2.1,10.8,0.0,1.0,72.1,7.389563953677635,1.1085626195212777,4.930487580909833
Armenia,Rest of Europe,2003.0,23.3,26.3,139.9,3.0,93.0,93.0,26.0,96.0,94.0,0.08,1856.0,3.02,2.0,2.1,10.8,0.0,1.0,72.3,7.526178913346146,1.1052568313867783,4.940927881671436
Armenia,Rest of Europe,2004.0,22.2,25.0,141.353,3.73,91.0,94.0,26.0,93.0,91.0,0.08,2062.0,3.0,2.0,2.1,10.8,0.0,1.0,72.5,7.631431664576906,1.0986122886681098,4.95126030782665
Armenia,Rest of Europe,2005.0,21.1,23.7,142.8055,4.17,91.0,92.0,26.0,92.0,90.0,0.08,2364.0,2.98,2.0,2.1,10.9,0.0,1.0,72.6,7.768110378525988,1.091923300517313,4.9614835645699475
Armenia,Rest of Europe,2006.0,20.0,22.5,144.2585,3.99,78.0,85.0,26.0,87.0,87.0,0.08,2697.0,2.96,2.0,2.1,10.9,0.0,1.0,72.7,7.89989532313973,1.085189268335969,4.971606829128774
Armenia,Rest of Europe,2007.0,19.0,21.4,145.711,3.91,85.0,93.0,26.0,90.0,88.0,0.08,3093.0,2.93,2.0,2.1,11.0,0.0,1.0,72.8,8.03689677268507,1.075002423028976,4.981625207949163
Armenia,Rest of Europe,2008.0,18.1,20.3,142.5365,3.96,89.0,94.0,26.0,91.0,89.0,0.08,3335.0,2.91,2.0,2.1,11.0,0.0,1.0,72.9,8.112227958349724,1.0681530811834012,4.959598107261243
Armenia,Rest of Europe,2009.0,17.2,19.2,139.3615,3.97,93.0,96.0,26.0,94.0,93.0,0.08,2884.0,2.89,2.0,2.1,11.1,0.0,1.0,73.1,7.96693349840484,1.0612565021243408,4.937071276536508
Armenia,Rest of Europe,2010.0,16.3,18.3,136.1865,4.23,94.0,97.0,26.0,96.0,94.0,0.08,2959.0,2.88,2.0,2.1,11.1,0.0,1.0,73.3,7.99260665240021,1.0577902941478545,4.9140252698600735
Armenia,Rest of Europe,2011.0,15.5,17.3,133.0115,4.07,95.0,98.0,26.0,96.0,95.0,0.08,3099.0,2.88,2.0,2.1,11.2,0.0,1.0,73.6,8.038834757787749,1.0577902941478545,4.890435590649184
Armenia,Rest of Europe,2012.0,14.7,16.4,129.837,3.89,95.0,97.0,26.0,96.0,95.0,0.08,3313.0,2.88,2.0,2.1,11.3,0.0,1.0,73.8,8.105609402299896,1.0577902941478545,4.866279817578959
Armenia,Rest of Europe,2013.0,14.0,15.6,128.387,3.92,95.0,97.0,26.0,96.0,95.0,0.08,3407.0,2.9,2.1,2.1,11.4,0.0,1.0,74.1,8.133587417660966,1.0647107369924282,4.855049140024208
Armenia,Rest of Europe,2014.0,13.3,14.8,126.937,4.22,93.0,97.0,26.0,95.0,93.0,0.08,3511.0,2.91,2.1,2.1,11.5,0.0,1.0,74.3,8.163656176168432,1.0681530811834012,4.843690900386514
Armenia,Rest of Europe,2015.0,12.6,14.1,125.4875,4.04,94.0,97.0,26.0,96.0,94.0,0.09,3607.0,2.93,2.1,2.2,11.6,0.0,1.0,74.5,8.19063168090354,1.075002423028976,4.832206152017645
Australia,Oceania,2000.0,5.1,6.2,77.0385,10.17,95.0,85.0,26.0,90.0,90.0,0.04,45559.0,19.15,0.7,0.7,11.9,1.0,0.0,79.2,10.726763468242096,2.952302715626655,4.344305296895335
Australia,Oceania,2001.0,5.0,6.1,73.7145,9.53,94.0,85.0,26.0,91.0,92.0,0.04,45865.0,19.41,0.7,0.7,11.9,1.0,0.0,79.6,10.733457577943756,2.9657883971809187,4.300199523398768
Australia,Oceania,2002.0,5.0,6.0,71.935,9.84,95.0,85.0,26.0,92.0,92.0,0.04,47127.0,19.65,0.7,0.7,11.8,1.0,0.0,79.9,10.76060136416805,2.9780773383152703,4.275762933488997
Australia,Oceania,2003.0,4.9,5.9,69.879,9.97,95.0,86.0,27.0,92.0,93.0,0.05,47997.0,19.9,0.7,0.7,11.8,1.0,0.0,80.2,10.778893787936822,2.990719731730447,4.246765174917327
Australia,Oceania,2004.0,4.8,5.8,67.92,9.84,95.0,85.0,27.0,92.0,92.0,0.05,49439.0,20.13,0.7,0.6,11.8,1.0,0.0,80.5,10.808494865389797,3.0022112396517002,4.218330542003092
Australia,Oceania,2005.0,4.8,5.7,66.521,10.3,95.0,85.0,27.0,92.0,92.0,0.05,50333.0,20.39,0.7,0.6,11.7,1.0,0.0,80.8,10.826416204590467,3.015044584586364,4.197517687284492
